指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2021/2/3取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2019年度：1,758件、2020年度：2,130件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,大崎１丁目,-,東京都品川区大崎1-6-1,35.620702,139.72879,ローソン TOC大崎店,,,,,,,
品川区,大井３丁目,-,東京都品川区大井3-1-1,35.603280,139.72898,ローソン 大井三丁目店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1丁目6-5 2階,35.620257,139.72905,ファミリーマート 大崎ニューシティ店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東五反田2丁目16-1-103,35.622735,139.72922,ファミリーマート 大崎駅東店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東五反田2-17-1,35.623333,139.72923,ローソン オーバルコート大崎店,,,,,,,
品川区,大井７丁目,-,東京都品川区大井7丁目27-5,35.595507,139.72939,セブンイレブン 品川大井7丁目店,,,,,,,
品川区,南大井６丁目,-,東京都品川区南大井6-17-14,35.589664,139.72944,ローソン H大森駅北口店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東五反田2丁目18番1号 大崎フォレストビルディング1F,35.624233,139.72955,ミニストップ cisca大崎フォレストビル店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東五反田2丁目18-1,35.624233,139.72955,cisca大崎フォレストビル店,,,,,,,
品川区,南大井６丁目,-,東京都品川区南大井6-17-7,35.589841,139.72981,ファミリーマート 山王大森駅前店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東五反田2ー19ー7,35.624998,139.72999,セブンイレブン 東五反田2丁目店,,,,,,,
品川区,南大井６丁目,-,東京都品川区南大井6-16-10,35.590598,139.73027,セブンイレブン 品川南大井6丁目店,,,,,,,
品川区,大井３丁目,-,東京都品川区大井3-26-11,35.600429,139.73040,ローソンストア100 LS大井町店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1-16-2,35.607787,139.73046,ナチュラルローソン NL品川区役所前店,,,,,,,
品川区,北品川５丁目,-,東京都品川区北品川5丁目6ー1,35.621557,139.73048,ファミリーマート 大崎ブライトタワー店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1-28-1住友不動産大井町駅前ビル,35.606183,139.73080,ローソン 品川大井一丁目店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1-11-1,35.619368,139.73081,ローソン ゲートシティ大崎アトリウム店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1丁目11番1号,35.619368,139.73081,ファミリーマート ゲートシティ大崎店,,,,,,,
品川区,北品川５丁目,-,東京都品川区北品川5丁目5番15号,35.622071,139.73093,セブンイレブン 大崎ブライトコア店,,,,,,,
品川区,南大井６丁目,-,東京都品川区南大井6丁目25-3いちご大森ビル,35.589055,139.73096,ファミリーマート 大森ベルポート前店,,,,,,,
品川区,西品川１丁目,-,東京都品川区西品川1丁目1-1,35.614938,139.73107,セブンイレブン セガサミーホールディングス店,,,,,,,
品川区,西品川１丁目,-,東京都品川区西品川1丁目1-1,35.614938,139.73107,リーベンハウス大崎ガーデンタワー店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1-21-19,35.607207,139.73144,ファミリーマート 大井一丁目店,,,,,,,
