指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2021/3/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
江東区,青海１丁目,-,東京都江東区青海1-1,35.623768,139.774154,H1-10.出会い橋 / Deaibashi Bridge,-,営業時間 24時間 / Open for 24 hours
港区,台場１丁目,-,東京都港区台場1-5,35.630058,139.777669,H1-09.お台場海浜公園駅 / Odaiba Kaihin Park Station,-,営業時間 24時間 / Open for 24 hours
江東区,青海１丁目,-,東京都江東区青海1-3,35.626009,139.781184,H1-07.青海駅 / Aomi Station,-,営業時間 24時間 / Open for 24 hours
江東区,青海１丁目,-,東京都江東区青海1-2,35.627794,139.779905,H1-08.東京テレポート駅 / Tokyo Teleport Station,-,営業時間 24時間 / Open for 24 hours
江東区,青海２丁目,-,東京都江東区青海2-4,35.618093,139.778627,H1-11.テレコムセンター駅 / Telecom Center Station,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲２丁目,-,東京都江東区豊洲2-4,35.654791,139.791587,H1-13.アーバンドックららぽーと豊洲 / Urban Dock LaLaport TOYOSU,-,営業時間 24時間 / Open for 24 hours
江東区,青海２丁目,-,東京都江東区青海2-6,35.615698,139.777669,H1-12.大江戸温泉物語 / Ohedo Onsen Monogatari,-,営業時間 24時間 / Open for 24 hours
港区,台場２丁目,-,東京都港区台場2-6,35.625201,139.771278,H1-15.台場駅 / Daiba Station,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲３丁目,-,東京都江東区豊洲3-5,35.657835,139.796844,H1-16.豊洲三丁目公園 / Toyosu 3-Chome Park,-,営業時間 24時間 / Open for 24 hours
江東区,有明３丁目,-,東京都江東区有明3-11,35.629977,139.793967,H1-18.東京ビッグサイト / Tokyo Bigsight,-,営業時間 / Open 8:00-20:00
江東区,豊洲４丁目,-,東京都江東区豊洲4-10,35.653821,139.802598,H1-19.UR豊洲四丁目団地 / UR Toyosu 4-Chome Danchi,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-6,35.641453,139.782462,H1-22.豊洲市場（7街区）/ Toyosu market block 7,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-10-8,35.645604,139.785658,H1-29.スカイズタワー&ガーデン / SKYZ TOWER&GARDEN,-,営業時間 24時間 / Open for 24 hours
江東区,木場１丁目,-,東京都江東区木場1-5,35.666233,139.804196,H1-33.深川ギャザリア（ウエストスクエア） / FUKAGAWA GATHARIA(West Square),-,営業時間 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-15,35.639349,139.800520,H1-37.東雲駅（東京湾岸道路）/ Shinonome Sta.(Wangan Road),-,営業時間 24時間 / Open for 24 hours
江東区,辰巳１丁目,-,東京都江東区辰巳1-12,35.644574,139.809631,H1-39.辰巳駅東口自転車駐車場 / Tatsumi station east entrance bicycle garaje,-,営業時間 24時間 / Open for 24 hours
江東区,平野３丁目,-,東京都江東区平野3-2-30,35.676454,139.804763,H1-41.深川北スポーツセンター / Fukagawa North Sports Center,-,営業時間 / Open 8:30-20:00休館日 / Closing day毎月第2･4月曜日(祝･休日の場合は翌日)年末年始(12月29日~1月3日)This port can not be used on the 2nd and 4th Mondays. We will close from December 29 to January 3.
江東区,豊洲２丁目,-,東京都江東区豊洲2-2,35.654196,139.794926,"H1-50.豊洲交通広場北 / Toyosu Transportation Square
North",-,営業時間 24時間 / Open for 24 hours
江東区,豊洲２丁目,-,東京都江東区豊洲2-2,35.654196,139.794926,"H1-51.豊洲交通広場東 / Toyosu Transportation Square
East",-,営業時間 24時間 / Open for 24 hours
江東区,南砂３丁目,-,東京都江東区南砂3-8,35.671713,139.830096,H1-56.南砂三丁目緑地公園西 / Minamisuna 3-Chome Park West,-,営業時間 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-5,35.646565,139.827537,H1-57.新木場駅 / Shinkiba Station,-,営業時間 24時間 / Open for 24 hours
江東区,潮見２丁目,-,東京都江東区潮見2-7,35.658190,139.817464,H1-58.潮見駅 / Shiomi Station,-,営業時間 24時間 / Open for 24 hours
江東区,東砂３丁目,-,東京都江東区東砂3-28先,35.679845,139.844329,H1-60.荒川・砂町庭球場西 / Arakawa Sunamachi tennis court West,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-4-2,35.648347,139.786103,H1-61.Brillia ランニングスタジアム マギーズ東京前 / Brillia Running Stadium Maggie's Tokyo Front,-,営業時間 24時間 / Open for 24 hours
江東区,北砂３丁目,-,東京都江東区北砂3-3-7,35.683572,139.827159,H1-82.セブン-イレブン 北砂3丁目明治通り店 / Seven-Eleven Kitasuna 3-Chome Meijidori store,-,営業時間 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-3-22,35.642254,139.800258,H1-83.ローソン江東東雲店 / LAWSON Koto Shinonome shop,-,営業時間 24時間 / Open for 24 hours
江東区,塩浜２丁目,-,東京都江東区塩浜2-4-35,35.662213,139.803764,H1-87.パークアクシス木場キャナルウエスト / Park Axis Kiba Canal West,-,営業時間 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-12,35.640697,139.835853,H1-93.新木場一丁目公園 / Shinkiba 1chome Park,-,営業時間 24時間 / Open for 24 hours
