指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1 パレスサイドビル1F,35.690984,139.757353,Run Pit by au Smart Sports(ランピット バイ エーユー スマート スポーツ),スポーツ施設/運動公園
千代田区,外神田２丁目,-,東京都千代田区外神田2-5-12 タカラビル1F-B1,35.700252,139.768976,エニタイムフィットネス 秋葉原店,スポーツクラブ/フィットネスクラブ
千代田区,外神田６丁目,-,東京都千代田区外神田6-14-8,35.703502,139.771522,ヨガ教室ノア 秋葉原校,スポーツクラブ/フィットネスクラブ
千代田区,岩本町１丁目,-,東京都千代田区岩本町1-6-3 ユニゾ岩本町1丁目ビル 1F,35.691707,139.776928,エニタイムフィットネス 千代田岩本町店,スポーツクラブ/フィットネスクラブ
千代田区,五番町,-,東京都千代田区五番町5番地18 市ヶ谷女子学生ハイツB1F,35.690001,139.735798,メガロス市ヶ谷,スポーツクラブ/フィットネスクラブ
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-1-3 BP秋葉原ビル2F,35.696083,139.771448,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 秋葉原・神田店,スポーツクラブ/フィットネスクラブ
千代田区,内神田１丁目,-,東京都千代田区内神田1-8-1 三井ビル 1F,35.690159,139.766709,ラフィネ ランニングスタイル神田店,スポーツ施設/運動公園
千代田区,内神田１丁目,-,東京都千代田区内神田1-13-1 豊島屋ビル B2F,35.691012,139.765131,BOULCOM(ボルコム) 東京店,スポーツクラブ/フィットネスクラブ
千代田区,内神田２丁目,-,東京都千代田区内神田2-1-8,35.689135,139.767585,千代田区立スポーツセンター,スポーツ施設/運動公園
千代田区,内神田２丁目,-,東京都千代田区内神田2丁目1-8,35.689135,139.767585,千代田区立スポーツセンター弓道場,スポーツ施設/運動公園
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-5,35.672371,139.75402,SPORTS STATION Hibiya Park(スポーツ ステーション ヒビヤ パーク),スポーツ施設/運動公園
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-12-12 九段大和エステート 1-3F,35.69853,139.748854,エニタイムフィットネス 九段下店,スポーツクラブ/フィットネスクラブ
千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム サクラテラス 1F,35.698928,139.743809,セントラルスポーツ ジムスタ,スポーツクラブ/フィットネスクラブ
千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム サクラテラス 1F,35.698928,139.743809,Re.Ra.Ku(リラク),スポーツクラブ/フィットネスクラブ
千代田区,平河町２丁目,-,東京都千代田区平河町2丁目16-1,35.679454,139.741301,adidas RUNBASE,スポーツ施設/運動公園
千代田区,六番町,-,東京都千代田区六番町13-2 桃園学園ビル,35.686197,139.732121,ゴールドジム 四ツ谷東京,スポーツクラブ/フィットネスクラブ
新宿区,霞ヶ丘町,-,東京都新宿区霞ケ丘町・港区北青山,35.6706165,139.7180621,明治神宮外苑,スポーツ施設/運動公園
新宿区,市谷田町２丁目,-,東京都新宿区市谷田町2-17 八重洲市谷ビル B1,35.6954277,139.7381333,エニタイムフィットネス 市ケ谷店,スポーツクラブ/フィットネスクラブ
新宿区,四谷３丁目,-,東京都新宿区四谷3-13-24 ミズキビル 6.7F,35.6874809,139.7189178,APEX climbing gym(エイペックス クライミング ジム),スポーツ施設/運動公園
新宿区,百人町４丁目,-,東京都新宿区百人町4-1,35.7077712,139.7010294,西戸山公園,スポーツ施設/運動公園
新宿区,戸山３丁目,-,東京都新宿区戸山3-2,35.7051291,139.7144341,戸山多目的運動広場,スポーツ施設/運動公園
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-20,35.7023237,139.688904,北新宿多目的運動広場,スポーツ施設/運動公園
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-5 相馬屋ビル 5D,35.7020365,139.7389175,文武一道塾 志道館 本社,スポーツ施設/運動公園
