指標名,国際会議,,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,,
年次,2018年,,,,,,,,,,,,
URL,https://mice.jnto.go.jp/documents/statistics.html,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,会場数（都心五区外含め）,期間,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,JIRCAS国際シンポジウム2018,1,"11/06～
11/06",7,10,141,151
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「事実を伝えるために：ポスト真実時代における国連の情報発信」,1,"11/13～
11/13",5,60,90,150
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,SDGsシンポジウム   SDGs時代の持続可能な地域づくり～パートナーシップ推進に向けて～,1,"12/17～
12/17",3,7,71,78
新宿区,神楽坂１丁目,-,"1 Chome-3 Kagurazaka, Shinjuku City, Tokyo 162-8601, Japan",35.699452,139.7413686,東京理科大学,第41回日本基礎老化学会大会・日韓老化学会合同シンポジウム、第9回東京理科大学総合研究院トランスレーショナルリサーチセンターシンポジウム,1,"05/31～
06/02",3,10,203,213
新宿区,神楽坂１丁目,-,"1 Chome-3 Kagurazaka, Shinjuku City, Tokyo 162-8601, Japan",35.699452,139.7413686,東京理科大学,第61回光波センシング技術研究会講演会,1,"06/12～
06/13",5,5,86,91
港区,新橋１丁目,虎ノ門広域,"1-chōme-2-6 Shinbashi, Minato City, Tōkyō-to 105-8621, Japan",35.668736,139.7573531,第一ホテル東京,水素閣僚会議2018,1,"10/23～
10/23",29,100,300,400
中央区,勝どき１丁目,-,"Japan, 〒104-0054 Tōkyō-to, Chuo City, Kachidoki, 1-chōme−13−１ 104 0054 丁目",35.660785,139.7752059,一般財団法人 日本エネルギー経済研究所,第3回日米   LNGワークショップ,1,"08/23～
08/23",3,14,52,66
港区,芝公園４丁目,-,"4-chōme-8-1 Shibakōen, Minato City, Tōkyō-to 105-8563, Japan",35.6552627,139.7470359,プリンスパークタワー東京,シンガポール国際仲裁・調停フォーラム,1,"01/22～
01/22",3,20,132,152
港区,芝公園３丁目,虎ノ門,"3-chōme-3-1 Shibakōen, Minato City, Tōkyō-to 105-8560, Japan",35.658962,139.7481391,東京プリンスホテル,第23回アジア・太平洋薬物取締会議（A- DEC23）,2,"02/06～
02/08",33,65,45,110
港区,芝公園３丁目,虎ノ門,"3-chōme-3-1 Shibakōen, Minato City, Tōkyō-to 105-8560, Japan",35.658962,139.7481391,東京プリンスホテル,ASEAN設⽴50周年記念事業シンポジウム ASEAN50年の挑戦と課題～ASEAN共同体と経済統合～,1,"03/01～
03/01",13,60,173,233
