指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2020/3/11取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数は基本的に1事業者1駅1データ。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数,駅コード（路線別）,駅コード（路線不問）
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２４-２６,35.65802,139.702148,渋谷,東急田園都市線,東急電鉄,-,2600301,1130205
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２１-１３,35.659545,139.702417,渋谷,東京メトロ副都心線,東京メトロ,-,2801016,1130205
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２４-１,35.658871,139.701238,渋谷,JR山手線,JR東日本,"742,672",1130205,1130205
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２４-１,35.658871,139.701238,渋谷,JR埼京線,JR東日本,-,1132103,1130205
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２４-１,35.658871,139.701238,渋谷,JR成田エクスプレス,JR東日本,-,1132807,1130205
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２４-１,35.658871,139.701238,渋谷,JR湘南新宿ライン,JR東日本,-,1133305,1130205
新宿区,住吉町,-,東京都新宿区住吉町７-３,35.692402,139.722881,曙橋,都営新宿線,東京都交通局,"38,039",9930403,9930403
港区,芝大門１丁目,-,東京都港区芝大門１-１６-７,35.656785,139.75466,大門,都営大江戸線,東京都交通局,"241,127",9930121,9930121
港区,芝大門１丁目,-,東京都港区芝大門１-１６-７,35.656785,139.75466,大門,都営浅草線,東京都交通局,-,9930209,9930121
港区,芝公園４丁目,-,東京都港区芝公園４-８-１４,35.654074,139.749824,芝公園,都営三田線,東京都交通局,"31,368",9930305,9930305
港区,芝５丁目,-,東京都港区芝５-３３-３６,35.645736,139.747575,田町,JR山手線,JR東日本,"305,248",1130228,1130228
港区,芝５丁目,-,東京都港区芝５-３３-３６,35.645736,139.747575,田町,JR京浜東北線,JR東日本,-,1133226,1130228
港区,芝５丁目,-,東京都港区芝５-１８-８,35.64818,139.748775,三田,都営浅草線,東京都交通局,"216,184",9930208,9930208
港区,芝５丁目,-,東京都港区芝５-１８-８,35.64818,139.748775,三田,都営三田線,東京都交通局,-,9930304,9930208
新宿区,市谷田町１丁目,-,東京都新宿区市谷田町１-９-１,35.692972,139.736389,市ヶ谷,東京メトロ南北線,東京メトロ,-,2800911,1131315
新宿区,四谷３丁目,-,東京都新宿区四谷３-９-３０,35.687958,139.720103,四谷三丁目,東京メトロ丸ノ内線,東京メトロ,"46,732",2800215,2800215
