指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
港区,麻布十番４丁目,-,東京都港区麻布十番４-３-１,35.654428,139.736974,麻布十番駅前,6,0.17 ,都営バス,橋８６,新橋駅前方面,目黒駅前方面,東京都港区麻布十番
港区,麻布十番４丁目,-,東京都港区麻布十番４-３-１,35.654428,139.736974,麻布十番駅前,6,0.17 ,都営バス,都０６,新橋駅前方面,渋谷駅前方面,東京都港区麻布十番
港区,麻布十番２丁目,-,東京都港区麻布十番２-２１-４,35.654288,139.736752,麻布十番二丁目,1,1.00 ,ちぃばす,麻布西ルート,六本木けやき坂方面,,東京都港区麻布十番
港区,麻布十番１丁目,-,東京都港区麻布十番１-５-２,35.657617,139.732737,鳥居坂下,3,0.33 ,ちぃばす,田町ルート,六本木ヒルズ方面,,東京都港区麻布十番
港区,麻布十番１丁目,-,東京都港区麻布十番１-５-２,35.657617,139.732737,鳥居坂下,3,0.33 ,ちぃばす,麻布東ルート,六本木けやき坂方面,港区役所（東京都）方面,東京都港区麻布十番
港区,麻布十番１丁目,-,東京都港区麻布十番１-５-２,35.657617,139.732737,鳥居坂下,3,0.33 ,ちぃばす,麻布西ルート,広尾駅（東京都）方面,六本木けやき坂方面,東京都港区麻布十番
港区,麻布十番１丁目,-,東京都港区麻布十番１-９-３,35.656471,139.735594,麻布十番,2,0.50 ,ちぃばす,田町ルート,六本木ヒルズ方面,,東京都港区麻布十番
港区,麻布十番１丁目,-,東京都港区麻布十番１-９-３,35.656471,139.735594,麻布十番,2,0.50 ,ちぃばす,麻布西ルート,六本木けやき坂方面,,東京都港区麻布十番
港区,麻布十番１丁目,-,東京都港区麻布十番１-４-１０,35.656984,139.734548,麻布十番公共駐車場前,1,1.00 ,ちぃばす,田町ルート,田町駅東口方面,,東京都港区麻布十番
渋谷区,本町６丁目,-,東京都渋谷区本町６-２１-１,35.681397,139.680876,本町一丁目(渋谷区),2,0.50 ,ハチ公バス,春の小川ルート,渋谷区役所方面,,東京都渋谷区本町
渋谷区,本町６丁目,-,東京都渋谷区本町６-２１-１,35.681397,139.680876,本町一丁目(渋谷区),2,0.50 ,京王バス,宿41/宿45,中野車庫/中野駅（東京都）方面,新宿駅西口方面,東京都渋谷区本町
渋谷区,本町５丁目,-,東京都渋谷区本町５-１４-９,35.685308,139.677045,本町五丁目(渋谷区),1,1.00 ,ハチ公バス,春の小川ルート,笹塚駅方面,,東京都渋谷区本町
渋谷区,本町５丁目,-,東京都渋谷区本町５-４５-１５,35.683775,139.674932,本町幼稚園,1,1.00 ,ハチ公バス,春の小川ルート,笹塚駅方面,,東京都渋谷区本町
渋谷区,本町４丁目,-,東京都渋谷区本町４-９-７,35.686921,139.680602,本町区民施設,1,1.00 ,ハチ公バス,春の小川ルート,笹塚駅方面,,東京都渋谷区本町
渋谷区,本町４丁目,-,東京都渋谷区本町４-２１-３,35.687728,139.678576,本町四丁目(渋谷区),1,1.00 ,京王バス,宿32/宿35/宿33,佼成病院/永福町（バス）方面,新宿駅西口方面,東京都渋谷区本町
渋谷区,本町３丁目,-,東京都渋谷区本町３-５２-６,35.686836,139.684081,関東国際高校,2,0.50 ,ハチ公バス,春の小川ルート,笹塚駅方面,,東京都渋谷区本町
渋谷区,本町３丁目,-,東京都渋谷区本町３-５２-６,35.686836,139.684081,関東国際高校,2,0.50 ,京王バス,渋64,中野駅（東京都）方面,渋谷駅方面,東京都渋谷区本町
渋谷区,本町３丁目,-,東京都渋谷区本町３-４０-７,35.688816,139.682117,本町三丁目(渋谷区),2,0.50 ,京王バス,宿32/宿35/宿33,佼成病院/永福町（バス）方面,新宿駅西口方面,東京都渋谷区本町
渋谷区,本町３丁目,-,東京都渋谷区本町３-４０-７,35.688816,139.682117,本町三丁目(渋谷区),2,0.50 ,京王バス,渋64,中野駅（東京都）方面,渋谷駅方面,東京都渋谷区本町
渋谷区,本町２丁目,-,東京都渋谷区本町２-４-１,35.683397,139.684381,幡ヶ谷不動尊,2,0.50 ,ハチ公バス,春の小川ルート,笹塚駅方面,渋谷区役所方面,東京都渋谷区本町
渋谷区,本町２丁目,-,東京都渋谷区本町２-４-１,35.683397,139.684381,幡ヶ谷不動尊,2,0.50 ,京王バス,宿41/宿45,中野車庫/中野駅（東京都）方面,新宿駅西口方面,東京都渋谷区本町
渋谷区,本町２丁目,-,東京都渋谷区本町２-１０-１,35.682401,139.682629,不動通り入口,2,0.50 ,ハチ公バス,春の小川ルート,渋谷区役所方面,,東京都渋谷区本町
渋谷区,本町２丁目,-,東京都渋谷区本町２-１０-１,35.682401,139.682629,不動通り入口,2,0.50 ,京王バス,宿41/宿45,中野車庫/中野駅（東京都）方面,新宿駅西口方面,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-５１-１４,35.682251,139.685001,オペラ通り,1,1.00 ,ハチ公バス,春の小川ルート,笹塚駅方面,,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-２-５,35.680905,139.685862,新国立劇場前,4,0.25 ,ハチ公バス,春の小川ルート,笹塚駅方面,渋谷区役所方面,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-２-５,35.680905,139.685862,新国立劇場前,4,0.25 ,京王バス,渋61,渋谷駅方面,,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-２-５,35.680905,139.685862,新国立劇場前,4,0.25 ,京王バス,渋63,中野駅（東京都）方面,渋谷駅方面,東京都渋谷区本町
渋谷区,本町１丁目,-,東京都渋谷区本町１-２-５,35.680905,139.685862,新国立劇場前,4,0.25 ,都営バス/京王バス,渋６６,渋谷駅方面,阿佐ヶ谷駅前方面,東京都渋谷区本町
