指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-24-6,35.660718,139.702023,東京ダンス＆アクターズ専門学校,私立,専修学校
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-6-8,35.660943,139.705209,専門学校清水とき・きものアカデミア,私立,専修学校
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-19-21,35.659773,139.70475,東京スクールオブミュージック専門学校渋谷,私立,専修学校
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.659107,139.7096685,青山学院幼稚園,私立,幼稚園
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷４－４－２５　,35.659107,139.7096685,青山学院高等部,私立,高等学校（全日制）
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷４－４－２５　,35.659107,139.7096685,青山学院中等部,私立,中学校
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷４－４－２５　,35.659107,139.7096685,青山学院初等部,私立,小学校
渋谷区,初台１丁目,-,東京都渋谷区初台1-32-12,35.679177,139.6838385,幡代,公立,小学校
中央区,勝どき１丁目,-,東京都中央区勝どき1-12-2,35.660232,139.7759805,月島第二,公立,幼稚園
中央区,勝どき１丁目,-,東京都中央区勝どき1-12-2,35.660232,139.7759805,月島第二,公立,小学校
渋谷区,松涛１丁目,-,東京都渋谷区松濤1-20-4,35.661294,139.6908675,松濤,公立,中学校
渋谷区,松涛２丁目,-,東京都渋谷区松濤2-16-5,35.657991,139.6904445,ヤマザキ動物専門学校,私立,専修学校
渋谷区,上原１丁目,-,東京都渋谷区上原1-46-4,35.669295,139.686777,富谷,公立,小学校
渋谷区,上原２丁目,-,東京都渋谷区上原2-37-13,35.665407,139.679811,岸辺幼稚園,私立,幼稚園
渋谷区,上原３丁目,-,東京都渋谷区上原3-13-20,35.666316,139.6791765,上原,公立,小学校
