指標名,保育園,,,認可保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/shisetsuitiran.html,,,,
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
年次,2020/3/11取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
URL,複数あり、右に記載,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,定員備考
港区,南青山１丁目,-,東京都港区南青山１－３－１　パークアクシス青山一丁目タワー２階,35.671788,139.7255175,あい保育園青山一丁目,認可,60,
港区,南青山１丁目,-,東京都港区南青山１－３－１５,35.671509,139.725441,南青山保育園,認可,142,
新宿区,南元町,-,東京都新宿区南元町４,35.681589,139.723713,二葉南元保育園,認可,110,
千代田区,内神田２丁目,-,東京都千代田区内神田２－１－１３,35.689014,139.7683935,ベネッセ内神田保育園,認可,60,
千代田区,内神田２丁目,-,東京都千代田区内神田2-5-2,35.690094,139.7675295,マミーズエンジェル神田駅前保育園,認証A,35,
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1  帝国本館4階,35.672256,139.7583495,帝国ホテルベビールーム,認可外,24,
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-5,35.670591,139.7574045,みずほキッズがじゅまる,認可外,33,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-14-6  2F,35.657289,139.698315,よつば保育室,認可外,3,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1－22－12長島第一ビル5階,35.656587,139.6957545,TKヘアメイク＆ネイルスクール,認可外,6,
港区,東麻布２丁目,-,東京都港区東麻布２－１－１,35.658144,139.742568,東麻布保育園,認可,170,
港区,東麻布２丁目,-,東京都港区東麻布2-1-1  4階,35.658144,139.742568,みなと保育サポート東麻布,認可外,20,
港区,東麻布２丁目,-,東京都港区東麻布２－３２－７,35.655957,139.740534,あい・あい保育園麻布十番園,認可,50,
港区,東麻布１丁目,-,東京都港区東麻布１－２１－２,35.655867,139.743549,飯倉保育園,認可,140,
港区,東麻布１丁目,-,東京都港区東麻布1-26-2SERAPH10AZABU1・2階,35.655471,139.744773,ゆらりん東麻布保育園,認証A,47,
港区,東麻布１丁目,-,東京都港区東麻布1-26-2セラフデアザブ3F,35.655471,139.744773,東京international kindercare,認可外,51,
港区,東麻布１丁目,-,東京都港区東麻布１－５－６,35.657874,139.743189,ふたばクラブ東麻布保育園,認可,39,
港区,東麻布１丁目,-,東京都港区東麻布1-8-14  日下部ビル1階,35.65692,139.743171,のぱるキッズ  東麻布,認可外,12,
中央区,東日本橋３丁目,-,東京都中央区東日本橋３－６－１５,35.690535,139.7837655,さくらさくみらい東日本橋,認可,47,
中央区,東日本橋１丁目,-,東京都中央区東日本橋1-3-13,35.690454,139.786011,こどもの王国保育園  東日本橋園,認可外,24,
中央区,東日本橋１丁目,-,東京都中央区東日本橋１－４－６　東日本橋一丁目ビル１・２階,35.691021,139.7861775,テンダーラビング保育園東日本橋,認可,70,
中央区,東日本橋１丁目,-,東京都中央区東日本橋１－５－１３　セイワ東日本橋ビル１～４階,35.691264,139.7860965,日生東日本橋保育園ひびき,認可,90,
千代田区,東神田２丁目,-,東京都千代田区東神田2-3-3  東神田藤和ビル1階,35.696592,139.7796435,かけはし保育園,認可外,12,
