指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 502 - 501 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642833248
品川区,平塚２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.617608,139.715652,"Up to 7P, Mid-size pad Convenient and Comfortable",0,1,https://www.hotels.com/ho1449939648
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 1003 - 1003 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642849280
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 302 - 301 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642833632
品川区,西大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601186,139.723154,Eternity In Wonder Land Capacity 3 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1951243296
品川区,東五反田１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.627785,139.727132,94 / NEW !! Shinagawa / 2 Mins From Station / Wifi,0,1,https://www.hotels.com/ho1209016800
品川区,西品川３丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.616079,139.728858,Japanese Modern House With Parking in Shinagawa / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1952012352
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 1302 - 302 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642835136
品川区,西大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601186,139.723154,Scandinavian Modern Capacity 6 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1933130848
品川区,東品川４丁目,-,"4-12-8 Higashi-shinagawa, Shinagawa-ku, Tokyo, 140-0002, Tokyo (prefecture), Japan",35.609344,139.749086,Sotetsu Grand Fresa Shinagawa Seaside,0,1,https://www.hotels.com/ho857185472
