指標名,バス停,,,,,NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,昨年度から名称が変更されたバス停がある,,,,,,,,
年次,2022/2/3取得,,,,,例：「高齢者ケアセンター」→「かんなみの杜・渋谷」,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　「東品川シルバーセンター前」→「東品川ゆうゆうプラザ前」,,,,,,,,
備考,路線ごとに1データあるので、エリアごとのバス停の数が知りたい場合は「1÷路線数」を合計する。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面１,方面URL1,方面２,方面ULR２
江東区,亀戸３丁目,-,東京都江東区亀戸３丁目７－１１　,35.70151,139.82078,亀戸天神前,2,0.500,上２６,[都営バス],上野公園（東京都）方面,https://www.navitime.co.jp/diagram/bus/00016705/00004098/1/,亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016705/00004098/0/
江東区,亀戸３丁目,-,東京都江東区亀戸３丁目７－１１　,35.70151,139.82078,亀戸天神前,2,0.500,草２４,[都営バス],浅草寿町方面,https://www.navitime.co.jp/diagram/bus/00016705/00004262/1/,東大島駅前〔大島口〕方面,https://www.navitime.co.jp/diagram/bus/00016705/00004262/0/
江東区,亀戸４丁目,-,東京都江東区亀戸４丁目２６－４　,35.70405,139.82574,亀戸香取神社,1,1.000,新小59,[京成バス/京成タウンバス],浅草寿町方面,https://www.navitime.co.jp/diagram/bus/00044955/00039573/1/,新小岩駅東北広場方面,https://www.navitime.co.jp/diagram/bus/00044955/00039573/0/
江東区,亀戸４丁目,-,東京都江東区亀戸４丁目２８　,35.70436,139.82592,福神橋,2,0.500,門３３,[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00017593/00004319/1/,豊海水産埠頭方面,https://www.navitime.co.jp/diagram/bus/00017593/00004319/0/
江東区,亀戸４丁目,-,東京都江東区亀戸４丁目２８　,35.70436,139.82592,福神橋,2,0.500,里２２(日暮里駅前-亀戸駅前),[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00017593/00004301/1/,-,-
江東区,亀戸６丁目,-,東京都江東区亀戸６丁目２５　,35.69578,139.82584,亀戸駅通り,14,0.071,亀２３(江東高齢者医療センター-亀戸駅前),[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016703/00004108/1/,-,-
江東区,亀戸６丁目,-,東京都江東区亀戸６丁目２５　,35.69578,139.82584,亀戸駅通り,14,0.071,亀２９,[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016703/00004111/1/,なぎさニュータウン方面,https://www.navitime.co.jp/diagram/bus/00016703/00004111/0/
江東区,亀戸６丁目,-,東京都江東区亀戸６丁目２５　,35.69578,139.82584,亀戸駅通り,14,0.071,都０７,[都営バス],門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00016703/00004299/1/,錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00016703/00004299/0/
江東区,亀戸６丁目,-,東京都江東区亀戸６丁目２５　,35.69578,139.82584,亀戸駅通り,14,0.071,両２８〔日曹橋経由〕,[都営バス],臨海車庫方面,https://www.navitime.co.jp/diagram/bus/00016703/00004105/1/,-,-
江東区,亀戸６丁目,-,東京都江東区亀戸６丁目２５　,35.69578,139.82584,亀戸駅通り,14,0.071,両２８,[都営バス],葛西橋/第六葛西小学校前方面,https://www.navitime.co.jp/diagram/bus/00016703/00004104/1/,両国駅前方面,https://www.navitime.co.jp/diagram/bus/00016703/00004104/0/
